sequence_length,candidate_pair_count,candidate_stem_count,qubo_variables,estimated_qubits,qubo_quadratic_terms,greedy_selected_stems,greedy_selected_pairs,greedy_objective_score,vienna_available,vienna_mfe_energy,vienna_runtime_seconds,precision,recall,f1_score,total_runtime_seconds
12,15,1,1,1,0,1,3,-7.0,True,-1.100000023841858,0.000418,1.0,1.0,1.0,0.046382
16,29,4,4,4,6,1,3,-7.0,True,-1.7999999523162842,7e-05,1.0,1.0,1.0,0.000716
20,50,8,8,8,26,1,4,-8.0,True,-1.7999999523162842,0.000105,0.0,0.0,0.0,0.001523
24,80,13,13,13,69,2,7,-15.0,True,-3.0999999046325684,0.000159,0.0,0.0,0.0,0.002
28,112,21,21,21,170,1,6,-14.0,True,-8.300000190734863,0.000224,1.0,1.0,1.0,0.003399
32,151,28,28,28,282,2,10,-22.0,True,-8.5,0.000323,1.0,1.0,1.0,0.00539
36,199,37,37,37,478,3,13,-29.0,True,-12.5,0.00046,1.0,1.0,1.0,0.008078
40,249,50,50,50,836,3,13,-29.0,True,-13.199999809265137,0.000527,1.0,1.0,1.0,0.011013
44,306,60,60,60,1146,3,13,-29.0,True,-13.199999809265137,0.000724,1.0,1.0,1.0,0.016251
